Version,Bundling/Dropping Time (ms),Energy (J)
acrylicPaintBundling-GM2,10,6.6281170417
acrylicPaintBundling-GM2,10,6.7772989085
acrylicPaintBundling-GM2,10,6.800751742
acrylicPaintBundling-GM2,10,6.8657448828
acrylicPaintBundling-GM2,10,6.9139857285
acrylicPaintBundling-GM2,10,6.7806277495
acrylicPaintBundling-GM2,10,6.6058343111
acrylicPaintBundling-GM2,10,6.7070966799
acrylicPaintBundling-GM2,10,6.6927554361
acrylicPaintBundling-GM2,10,6.5181321991
acrylicPaintBundling-GM2,10,6.7708452902
acrylicPaintBundling-GM2,10,6.8572579613
acrylicPaintBundling-GM2,10,6.5224530028
acrylicPaintOriginal-GM2,10,6.4121628871
acrylicPaintOriginal-GM2,10,6.2844389223
acrylicPaintOriginal-GM2,10,6.2170101199
acrylicPaintOriginal-GM2,10,6.4456881019
acrylicPaintOriginal-GM2,10,6.4842950532
acrylicPaintOriginal-GM2,10,6.4176316172
acrylicPaintOriginal-GM2,10,6.46678277
acrylicPaintOriginal-GM2,10,6.4697830182
acrylicPaintOriginal-GM2,10,6.1893117173
acrylicPaintOriginal-GM2,10,6.2773743139
acrylicPaintOriginal-GM2,10,6.3820127915
acrylicPaintOriginal-GM2,10,6.3047327697
acrylicPaintOriginal-GM2,10,6.3420183945
acrylicPaintOriginal-GM2,10,6.2663833423
acrylicPaintOriginal-GM2,10,6.2724114544
acrylicPaintOriginal-GM2,10,6.3871512034
acrylicPaintOriginal-GM2,10,6.2633507
acrylicPaintOriginal-GM2,10,6.2613095443
acrylicPaintOriginal-GM2,10,6.1598256741
acrylicPaintOriginal-GM2,10,6.1560362906
acrylicPaintDropping-GM2,10,6.548681875
acrylicPaintDropping-GM2,10,6.6690839425
acrylicPaintDropping-GM2,10,6.7687058256
acrylicPaintDropping-GM2,10,6.516920206
acrylicPaintDropping-GM2,10,6.5723735797
acrylicPaintDropping-GM2,10,6.5729217178
acrylicPaintDropping-GM2,10,6.7495797096
acrylicPaintDropping-GM2,10,6.6574928582
acrylicPaintDropping-GM2,10,6.6862354065
acrylicPaintDropping-GM2,10,6.5597983663
acrylicPaintDropping-GM2,10,6.6698026066
acrylicPaintDropping-GM2,10,6.6132491095
acrylicPaintDropping-GM2,10,6.7277009164
acrylicPaintDropping-GM2,10,6.7741905513
acrylicPaintDropping-GM2,10,6.4620128966
acrylicPaintDropping-GM2,10,6.7336247135
acrylicPaintDropping-GM2,10,6.7858051086
acrylicPaintDropping-GM2,10,6.5879553757
acrylicPaintDropping-GM2,10,6.6942103833
acrylicPaintDropping-GM2,10,6.6546367665
acrylicPaintBundling-GM2,30,6.1521740132
acrylicPaintBundling-GM2,30,6.0606854949
acrylicPaintBundling-GM2,30,6.3533630938
acrylicPaintBundling-GM2,30,6.1593650759
acrylicPaintBundling-GM2,30,6.2861567161
acrylicPaintBundling-GM2,30,6.0613513518
acrylicPaintBundling-GM2,30,6.1671360485
acrylicPaintBundling-GM2,30,6.1415790464
acrylicPaintBundling-GM2,30,6.1425268348
acrylicPaintBundling-GM2,30,6.1246110131
acrylicPaintBundling-GM2,30,5.8985437944
acrylicPaintBundling-GM2,30,5.9644427414
acrylicPaintBundling-GM2,30,6.0118270659
acrylicPaintBundling-GM2,30,6.2507536153
acrylicPaintBundling-GM2,30,6.1342782398
acrylicPaintBundling-GM2,30,6.0138989038
acrylicPaintBundling-GM2,30,6.0575132444
acrylicPaintBundling-GM2,30,6.1926575218
acrylicPaintBundling-GM2,30,6.1782778489
acrylicPaintBundling-GM2,30,5.8620829001
acrylicPaintOriginal-GM2,30,6.4121628871
acrylicPaintOriginal-GM2,30,6.2844389223
acrylicPaintOriginal-GM2,30,6.2170101199
acrylicPaintOriginal-GM2,30,6.4456881019
acrylicPaintOriginal-GM2,30,6.4842950532
acrylicPaintOriginal-GM2,30,6.4176316172
acrylicPaintOriginal-GM2,30,6.46678277
acrylicPaintOriginal-GM2,30,6.4697830182
acrylicPaintOriginal-GM2,30,6.1893117173
acrylicPaintOriginal-GM2,30,6.2773743139
acrylicPaintOriginal-GM2,30,6.3820127915
acrylicPaintOriginal-GM2,30,6.3047327697
acrylicPaintOriginal-GM2,30,6.3420183945
acrylicPaintOriginal-GM2,30,6.2663833423
acrylicPaintOriginal-GM2,30,6.2724114544
acrylicPaintOriginal-GM2,30,6.3871512034
acrylicPaintOriginal-GM2,30,6.2633507
acrylicPaintOriginal-GM2,30,6.2613095443
acrylicPaintOriginal-GM2,30,6.1598256741
acrylicPaintOriginal-GM2,30,6.1560362906
acrylicPaintDropping-GM2,30,6.1855964598
acrylicPaintDropping-GM2,30,6.1596900147
acrylicPaintDropping-GM2,30,6.0648234348
