Version,Bundling/Dropping Time (ms),Energy (J)
colorPickerBundling,100,63.5176390328
colorPickerBundling,100,65.8324655918
colorPickerBundling,100,65.6730386604
colorPickerBundling,100,66.377062
colorPickerBundling,100,66.4563625656
colorPickerBundling,100,65.338744107
colorPickerBundling,100,66.2428525166
colorPickerBundling,100,66.5276861444
colorPickerBundling,100,65.9578212422
colorPickerBundling,100,64.788143181
colorPickerBundling,100,65.074494879
colorPickerBundling,100,65.9341886588
colorPickerBundling,100,65.834832737
colorPickerBundling,100,65.881992917
colorPickerBundling,100,64.3433834168
colorPickerBundling,100,64.8971353888
colorPickerBundling,100,66.2439624826
colorPickerBundling,100,66.1514197682
colorPickerBundling,100,66.4152433986
colorPickerBundling,100,66.7922048114
colorPickerBundling,100,65.254852064
colorPickerBundling,100,66.165365815
colorPickerBundling,100,66.0001808154
colorPickerBundling,100,66.8725182076
colorPickerBundling,100,65.2984938404
colorPickerBundling,100,65.6851234634
colorPickerBundling,100,65.4981401572
colorPickerBundling,100,64.1387579024
colorPickerDropping,100,68.2435040946
colorPickerDropping,100,67.691194048
colorPickerDropping,100,67.7299542752
colorPickerDropping,100,66.9410911362
colorPickerDropping,100,66.8533437086
colorPickerDropping,100,67.6139961976
colorPickerDropping,100,68.0274238458
colorPickerDropping,100,66.662741531
colorPickerDropping,100,67.3601390838
colorPickerDropping,100,67.1667761798
colorPickerDropping,100,67.5562804514
colorPickerDropping,100,67.3809375966
colorPickerDropping,100,67.1596027818
colorPickerDropping,100,67.433640057
colorPickerDropping,100,66.2965297088
colorPickerDropping,100,67.472321215
colorPickerDropping,100,67.0328519576
colorPickerDropping,100,66.915907233
colorPickerDropping,100,67.4736902228
colorPickerDropping,100,67.174620484
colorPickerDropping,100,66.4875174426
colorPickerDropping,100,67.3051541956
colorPickerDropping,100,66.721976944
colorPickerDropping,100,68.9283684914
colorPickerDropping,100,66.7456771342
colorPickerDropping,100,66.8556288084
colorPickerDropping,100,68.6523646054
colorPickerDropping,100,67.2724323914
colorPickerDropping,100,67.3683618748
colorPickerDropping,100,67.394826054
colorPickerDropping,100,66.5902219
colorPickerDropping,100,67.508813325
colorPickerDropping,100,67.4534197402
colorPickerDropping,100,68.0174848294
colorPickerDropping,100,65.4229995606
colorPickerDropping,100,67.6853500254
colorPickerDropping,100,68.4427216962
colorPickerDropping,100,66.8371204702
colorPickerDropping,100,67.6662718764
colorPickerDropping,100,67.5689727994
colorPickerOriginal,100,65.9296818446
colorPickerOriginal,100,66.7208384218
colorPickerOriginal,100,66.1396949752
colorPickerOriginal,100,65.5218868366
colorPickerOriginal,100,67.4234353826
colorPickerOriginal,100,66.469172415
colorPickerOriginal,100,67.148678397
colorPickerOriginal,100,66.7967960098
colorPickerOriginal,100,65.8270710714
colorPickerOriginal,100,62.7347457154
colorPickerOriginal,100,65.2371219546
colorPickerOriginal,100,66.4406221002
colorPickerOriginal,100,65.6887116424
colorPickerOriginal,100,66.0534273496
colorPickerOriginal,100,67.6901160474
colorPickerOriginal,100,63.5087100016
colorPickerOriginal,100,66.0145499704
colorPickerOriginal,100,65.0787746944
colorPickerOriginal,100,66.831426952
colorPickerOriginal,100,67.7012956958
colorPickerOriginal,100,66.1242811
colorPickerOriginal,100,65.5983433474
colorPickerOriginal,100,66.2506375284
colorPickerOriginal,100,66.3851869644
colorPickerOriginal,100,65.9303235366
colorPickerOriginal,100,65.0702508968
colorPickerOriginal,100,66.4984527236
colorPickerOriginal,100,66.334721365
colorPickerOriginal,100,65.5612081554
colorPickerOriginal,100,67.2660914624
colorPickerOriginal,100,65.244684948
colorPickerOriginal,100,65.6694707102
colorPickerOriginal,100,65.679038024
colorPickerOriginal,100,65.7005928156
colorPickerOriginal,100,64.3564197412
colorPickerOriginal,100,65.4611244832
colorPickerOriginal,100,65.0078338166
colorPickerOriginal,100,65.9823022356
colorPickerOriginal,100,67.6086987064
colorPickerOriginal,100,65.8662159282
colorPickerDropping,200,65.1020585262
colorPickerDropping,200,66.6944216432
colorPickerDropping,200,65.1364179488
colorPickerDropping,200,66.1282118496
colorPickerDropping,200,65.653205288
colorPickerDropping,200,64.8049555088
colorPickerDropping,200,64.8249307278
colorPickerDropping,200,65.4232528142
colorPickerDropping,200,64.6944954564
colorPickerDropping,200,64.5825320604
colorPickerDropping,200,66.1802070392
colorPickerDropping,200,67.3675149516
colorPickerDropping,200,65.1995467698
colorPickerDropping,200,67.2207892022
colorPickerDropping,200,65.7606719734
colorPickerDropping,200,64.8872165442
colorPickerDropping,200,64.6445348474
colorPickerDropping,200,66.0900214194
colorPickerDropping,200,62.8759728544
colorPickerDropping,200,65.0255898168
colorPickerDropping,200,65.4797722454
colorPickerDropping,200,63.4472789696
colorPickerDropping,200,65.0410075254
colorPickerDropping,200,65.8024186314
colorPickerDropping,200,64.3207295344
colorPickerDropping,200,65.0929309352
colorPickerDropping,200,66.5915733024
colorPickerDropping,200,65.1718517884
colorPickerDropping,200,66.2785094102
colorPickerDropping,200,65.114995293
colorPickerDropping,200,65.0713405004
colorPickerDropping,200,65.2091288826
colorPickerDropping,200,65.9036446698
colorPickerDropping,200,65.0359424726
colorPickerDropping,200,66.2641256404
colorPickerDropping,200,64.858369621
colorPickerDropping,200,66.7005557578
colorPickerDropping,200,65.5310013442
colorPickerDropping,200,64.1285315136
colorPickerDropping,200,65.8020208184
colorPickerBundling,200,64.2166368658
colorPickerBundling,200,64.3845033146
colorPickerBundling,200,63.8499775466
colorPickerBundling,200,64.4057025142
colorPickerBundling,200,64.1901718356
colorPickerBundling,200,62.5000347228
colorPickerBundling,200,65.7261500834
colorPickerBundling,200,63.6160427996
colorPickerBundling,200,64.2959490682
colorPickerBundling,200,63.3112149054
colorPickerBundling,200,65.8650638366
colorPickerBundling,200,63.2262762454
colorPickerBundling,200,64.46218492
colorPickerBundling,200,64.864052436
colorPickerBundling,200,63.1044294256
colorPickerBundling,200,64.2367572434
colorPickerBundling,200,63.7422981938
colorPickerBundling,200,63.8170352918
colorPickerBundling,200,63.2834952132
colorPickerBundling,200,64.1483005178
colorPickerBundling,200,64.319490506
colorPickerBundling,200,63.3675741374
colorPickerBundling,200,64.063160404
colorPickerBundling,200,63.620385649
colorPickerBundling,200,64.5077338626
colorPickerBundling,200,64.4107938102
colorPickerBundling,200,63.5294233424
colorPickerBundling,200,63.3620732154
colorPickerBundling,200,64.5192453332
colorPickerBundling,200,63.8581882804
colorPickerBundling,200,64.6590305236
colorPickerBundling,200,64.7920135328
colorPickerBundling,200,63.354466248
colorPickerBundling,200,64.2925649616
colorPickerBundling,200,63.924982844
colorPickerBundling,200,63.846962848
colorPickerBundling,200,63.3478621116
colorPickerBundling,200,64.4036003972
colorPickerBundling,200,64.2149638062
colorPickerBundling,200,64.516308698
colorPickerOriginal,200,65.9296818446
colorPickerOriginal,200,66.7208384218
colorPickerOriginal,200,66.1396949752
colorPickerOriginal,200,65.5218868366
colorPickerOriginal,200,67.4234353826
colorPickerOriginal,200,66.469172415
colorPickerOriginal,200,67.148678397
colorPickerOriginal,200,66.7967960098
colorPickerOriginal,200,65.8270710714
colorPickerOriginal,200,62.7347457154
colorPickerOriginal,200,65.2371219546
colorPickerOriginal,200,66.4406221002
colorPickerOriginal,200,65.6887116424
colorPickerOriginal,200,66.0534273496
colorPickerOriginal,200,67.6901160474
colorPickerOriginal,200,63.5087100016
colorPickerOriginal,200,66.0145499704
colorPickerOriginal,200,65.0787746944
colorPickerOriginal,200,66.831426952
colorPickerOriginal,200,67.7012956958
colorPickerOriginal,200,66.1242811
colorPickerOriginal,200,65.5983433474
colorPickerOriginal,200,66.2506375284
